2026-09-10 21:57:48 startup archives unpack
2026-09-10 23:15:39 status half-configured man-db:amd64 2.11.2-2
2026-09-10 23:15:40 status installed man-db:amd64 2.11.2-2
2026-09-15 15:47:04 startup archives unpack
2026-09-15 15:47:05 install unzip:amd64 <none> 6.0-28+deb12u1
2026-09-15 15:47:05 status half-installed unzip:amd64 6.0-28+deb12u1
2026-09-15 15:47:05 status triggers-pending mailcap:all 3.70+nmu1
2026-09-15 15:47:05 status triggers-pending man-db:amd64 2.11.2-2
2026-09-15 15:47:05 status unpacked unzip:amd64 6.0-28+deb12u1
2026-09-15 15:47:05 install zip:amd64 <none> 3.0-13
2026-09-15 15:47:05 status half-installed zip:amd64 3.0-13
2026-09-15 15:47:05 status unpacked zip:amd64 3.0-13
2026-09-15 15:47:05 startup packages configure
2026-09-15 15:47:05 configure unzip:amd64 6.0-28+deb12u1 <none>
2026-09-15 15:47:05 status unpacked unzip:amd64 6.0-28+deb12u1
2026-09-15 15:47:05 status half-configured unzip:amd64 6.0-28+deb12u1
2026-09-15 15:47:05 status installed unzip:amd64 6.0-28+deb12u1
2026-09-15 15:47:05 configure zip:amd64 3.0-13 <none>
2026-09-15 15:47:05 status unpacked zip:amd64 3.0-13
2026-09-15 15:47:05 status half-configured zip:amd64 3.0-13
2026-09-15 15:47:05 status installed zip:amd64 3.0-13
2026-09-15 15:47:05 trigproc man-db:amd64 2.11.2-2 <none>
2026-09-15 15:47:05 status half-configured man-db:amd64 2.11.2-2
2026-09-15 15:47:06 status installed man-db:amd64 2.11.2-2
2026-09-15 15:47:06 trigproc mailcap:all 3.70+nmu1 <none>
2026-09-15 15:47:06 status half-configured mailcap:all 3.70+nmu1
2026-09-15 15:47:06 status installed mailcap:all 3.70+nmu1
