Record #,Time (UTC),Level,Event ID,Provider,Channel,Computer,AvFlags,AvFlagsStr,AvlFlags,AvlFlagsStr,ChannelBindingStatus,ClientIP,ClientNetworkName,DomainName,Hostname,Mic Status,NegotiatedFlags,NtlmUsageId,NtlmUsageReason,NtlmVersion,ProcessName,ProcessPID,RemoteClientMachine,ServiceBinding,SessionKeyStatus,SingleSignOn,Status,StatusMsg,TargetDomain,TargetIP,TargetMachine,TargetNetworkName,TargetService,Username
20,2026-09-09T19:20:17.399735+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,DIOCORE,,Protected,0xe288b235,,,NTLMv2,lsass,0x320,unhappy-meal,ws02.core.diogenes.htb,Present,,0xc000006d,3221225581,TERMSRV/192.168.56.22,,core.diogenes.htb,,,afenwick
21,2026-09-09T19:33:15.278608+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd88,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
22,2026-09-09T19:37:11.456326+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe78,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
23,2026-09-09T19:37:12.116985+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe78,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
24,2026-09-09T19:37:22.545204+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe78,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
25,2026-09-09T19:42:58.719422+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,DIOCORE,,Protected,0xe288b235,,,NTLMv2,lsass,0x324,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,afenwick
26,2026-09-09T19:56:21.860889+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe78,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
27,2026-09-09T20:00:00.033616+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xdc4,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
28,2026-09-09T20:00:00.871678+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xdc4,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
29,2026-09-09T20:00:09.856794+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xdc4,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
30,2026-09-09T20:02:18.807618+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xdc4,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
31,2026-09-09T20:08:58.238169+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe1c,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
32,2026-09-09T20:08:59.167898+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe1c,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
33,2026-09-09T20:09:07.661930+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe1c,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
34,2026-09-09T20:15:06.546985+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,DIOCORE,,Protected,0xe288b235,,,NTLMv2,lsass,0x324,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,afenwick
35,2026-09-09T20:22:21.901964+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,Null,,Protected,0xe288a235,,,NTLMv2,lsass,0x324,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,vagrant
36,2026-09-09T20:23:53.621556+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,DIOCORE,,Protected,0xe288b235,,,NTLMv2,lsass,0x324,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,afenwick
37,2026-09-09T20:24:21.752683+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xe1c,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
38,2026-09-09T20:29:53.396404+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd94,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
39,2026-09-09T20:29:54.689054+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd94,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
40,2026-09-09T20:30:03.973844+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd94,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
41,2026-09-09T20:31:24.262420+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,DIOCORE,,Protected,0xe288b235,,,NTLMv2,lsass,0x328,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,afenwick
42,2026-09-09T20:31:31.149150+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,Null,,Protected,0xe288a235,,,NTLMv2,lsass,0x328,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,vagrant
43,2026-09-09T20:32:16.382479+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,DIOCORE,,Protected,0xe288b235,,,NTLMv2,lsass,0x328,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,afenwick
44,2026-09-09T20:44:11.745044+00:00,Warning,4021,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,,,0x0,None,Supported,,,DIOCORE,WS02,Unprotected,0xa2888205,1,NTLM was called directly by the calling application.,NTLMv2,winupdate,0x1798,,Unknown,Missing,Single Sign-On,,,Not Found,Null,Not Found,Null,Null,afenwick
45,2026-09-09T20:54:44.409962+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,DIOCORE,,Protected,0xe288b235,,,NTLMv2,lsass,0x328,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,afenwick
46,2026-09-09T20:54:49.096904+00:00,Information,4022,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x2,MIC Provided,,,Supported,192.168.56.1,Null,Null,,Protected,0xe288a235,,,NTLMv2,lsass,0x328,unhappy-meal,ws02.core.diogenes.htb,Present,,0x0,0,TERMSRV/192.168.56.22,,core.diogenes.htb,,,vagrant
