UID          PID    PPID  C STIME TTY          TIME CMD
root         139       2  0 Sep14 ?        00:00:00 [vmw_pvscsi_wq_0]
root         141       2  0 Sep14 ?        00:00:00 [ata_sff]
root         143       2  0 Sep14 ?        00:00:00 [scsi_eh_1]
root         144       2  0 Sep14 ?        00:00:00 [scsi_tmf_1]
root         145       2  0 Sep14 ?        00:00:00 [scsi_eh_2]
root         146       2  0 Sep14 ?        00:00:00 [scsi_tmf_2]
root         153       2  0 Sep14 ?        00:00:00 [kworker/0:2H-kblockd]
root         183       2  0 Sep14 ?        00:00:00 [jbd2/sda2-8]
root         184       2  0 Sep14 ?        00:00:00 [ext4-rsv-conver]
root         226       1  0 Sep14 ?        00:00:00 /lib/systemd/systemd-journald
root         250       1  0 Sep14 ?        00:00:00 /lib/systemd/systemd-udevd
root         288       2  0 Sep14 ?        00:00:00 [irq/28-vmw_vmci]
root         289       2  0 Sep14 ?        00:00:00 [cryptd]
root         294       2  0 Sep14 ?        00:00:00 [irq/29-vmw_vmci]
root         297       2  0 Sep14 ?        00:00:00 [irq/30-vmw_vmci]
root         344       2  0 Sep14 ?        00:00:00 [irq/16-vmwgfx]
systemd+     467       1  0 Sep14 ?        00:00:04 /lib/systemd/systemd-timesyncd
root         470       1  0 Sep14 ?        00:00:00 /sbin/auditd
root         474       1  0 Sep14 ?        00:00:00 /usr/bin/VGAuthService
root         475       1  0 Sep14 ?        00:01:33 /usr/bin/vmtoolsd
root         515       1  0 Sep14 ?        00:00:00 /usr/sbin/cron -f
message+     516       1  0 Sep14 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         521       1  0 Sep14 ?        00:00:00 /lib/systemd/systemd-logind
root         612       1  0 Sep14 tty1     00:00:00 /bin/login -p --
root         629       1  0 Sep14 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Tom          763       1  0 Sep14 ?        00:00:00 /lib/systemd/systemd --user
Tom          764     763  0 Sep14 ?        00:00:00 (sd-pam)
Tom          770     612  0 Sep14 tty1     00:00:00 -bash
root        1271       2  0 06:56 ?        00:00:03 [kworker/0:0-events]
root        1294       2  0 08:06 ?        00:00:00 [kworker/0:1]
Tom         1514       1  0 15:20 tty1     00:00:02 /home/Tom/.cache/.ticket-parser/.integrity
root        1519       2  0 15:25 ?        00:00:00 [kworker/u4:0-flush-8:0]
root        1548       2  0 15:39 ?        00:00:00 [kworker/1:0-ata_sff]
root        1553       2  0 15:44 ?        00:00:01 [kworker/1:1-mm_percpu_wq]
root        1554       2  0 15:45 ?        00:00:00 [kworker/u4:2-flush-8:0]
root        1557     770  0 15:45 tty1     00:00:00 su
root        1558    1557  0 15:45 tty1     00:00:00 bash
root        1624       2  0 15:49 ?        00:00:00 [kworker/1:2-ata_sff]
root        1627       2  0 15:50 ?        00:00:00 [kworker/u4:1-ext4-rsv-conversion]
root        1811    1558  2 15:53 tty1     00:00:00 /bin/sh ./uac -p full /root/uac_output
root        2290       1  5 15:53 ?        00:00:00 /lib/systemd/systemd-timedated
root        3101    1811  8 15:53 tty1     00:00:00 /bin/sh ./uac -p full /root/uac_output
root        3251    3101  0 15:53 tty1     00:00:00 ps -deaf
