F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 I root          66       2  0  60 -20 -     0 worker Sep14 ?        00:00:00 [kworker/u5:0]
1 I root         110       2  0  60 -20 -     0 worker Sep14 ?        00:00:00 [kworker/0:1H-kblockd]
1 S root         137       2  0  80   0 -     0 scsi_e Sep14 ?        00:00:00 [scsi_eh_0]
1 I root         138       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [scsi_tmf_0]
1 I root         139       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [vmw_pvscsi_wq_0]
1 I root         141       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [ata_sff]
1 S root         143       2  0  80   0 -     0 scsi_e Sep14 ?        00:00:00 [scsi_eh_1]
1 I root         144       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [scsi_tmf_1]
1 S root         145       2  0  80   0 -     0 scsi_e Sep14 ?        00:00:00 [scsi_eh_2]
1 I root         146       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [scsi_tmf_2]
1 I root         153       2  0  60 -20 -     0 worker Sep14 ?        00:00:00 [kworker/0:2H-kblockd]
1 S root         183       2  0  80   0 -     0 kjourn Sep14 ?        00:00:00 [jbd2/sda2-8]
1 I root         184       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [ext4-rsv-conver]
4 S root         226       1  0  80   0 - 14385 do_epo Sep14 ?        00:00:00 /lib/systemd/systemd-journald
4 S root         250       1  0  80   0 -  6630 do_epo Sep14 ?        00:00:00 /lib/systemd/systemd-udevd
1 S root         288       2  0   9   - -     0 irq_th Sep14 ?        00:00:00 [irq/28-vmw_vmci]
1 I root         289       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [cryptd]
1 S root         294       2  0   9   - -     0 irq_th Sep14 ?        00:00:00 [irq/29-vmw_vmci]
1 S root         297       2  0   9   - -     0 irq_th Sep14 ?        00:00:00 [irq/30-vmw_vmci]
1 S root         344       2  0   9   - -     0 irq_th Sep14 ?        00:00:00 [irq/16-vmwgfx]
4 S systemd+     467       1  0  80   0 - 22526 do_epo Sep14 ?        00:00:04 /lib/systemd/systemd-timesyncd
5 S root         470       1  0  76  -4 -  3283 do_sel Sep14 ?        00:00:00 /sbin/auditd
4 S root         474       1  0  80   0 - 13097 do_sys Sep14 ?        00:00:00 /usr/bin/VGAuthService
4 S root         475       1  0  80   0 - 60359 do_sys Sep14 ?        00:01:33 /usr/bin/vmtoolsd
4 S root         515       1  0  80   0 -  1654 hrtime Sep14 ?        00:00:00 /usr/sbin/cron -f
4 S message+     516       1  0  80   0 -  2313 do_epo Sep14 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4 S root         521       1  0  80   0 -  4257 do_epo Sep14 ?        00:00:00 /lib/systemd/systemd-logind
4 S root         612       1  0  80   0 -  1531 do_wai Sep14 tty1     00:00:00 /bin/login -p --
4 S root         629       1  0  80   0 -  3863 do_sys Sep14 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
4 S Tom          763       1  0  80   0 -  4730 do_epo Sep14 ?        00:00:00 /lib/systemd/systemd --user
5 S Tom          764     763  0  80   0 - 25794 do_sig Sep14 ?        00:00:00 (sd-pam)
4 S Tom          770     612  0  80   0 -  2460 do_wai Sep14 tty1     00:00:00 -bash
1 I root        1271       2  0  80   0 -     0 worker 06:56 ?        00:00:03 [kworker/0:0-events]
1 I root        1294       2  0  80   0 -     0 worker 08:06 ?        00:00:00 [kworker/0:1]
0 S Tom         1514       1  0  80   0 -  2778 do_sel 15:20 tty1     00:00:02 /home/Tom/.cache/.ticket-parser/.integrity
1 I root        1519       2  0  80   0 -     0 worker 15:25 ?        00:00:00 [kworker/u4:0-events_unbound]
1 I root        1548       2  0  80   0 -     0 worker 15:39 ?        00:00:00 [kworker/1:0-ata_sff]
1 I root        1553       2  0  80   0 -     0 worker 15:44 ?        00:00:01 [kworker/1:1-events]
1 I root        1554       2  0  80   0 -     0 worker 15:45 ?        00:00:00 [kworker/u4:2-flush-8:0]
4 S root        1557     770  0  80   0 -  2251 do_wai 15:45 tty1     00:00:00 su
4 S root        1558    1557  0  80   0 -  1801 do_wai 15:45 tty1     00:00:00 bash
1 I root        1624       2  0  80   0 -     0 worker 15:49 ?        00:00:00 [kworker/1:2-ata_sff]
1 I root        1627       2  0  80   0 -     0 worker 15:50 ?        00:00:00 [kworker/u4:1-ext4-rsv-conversion]
0 S root        1811    1558  2  80   0 -   785 do_wai 15:53 tty1     00:00:00 /bin/sh ./uac -p full /root/uac_output
4 S root        2290       1  5  80   0 -  4090 do_epo 15:53 ?        00:00:00 /lib/systemd/systemd-timedated
1 S root        3101    1811  5  80   0 -   785 do_wai 15:53 tty1     00:00:00 /bin/sh ./uac -p full /root/uac_output
4 R root        3327    3101  0  80   0 -  2024 -      15:53 tty1     00:00:00 ps -efl
